,Gross domestic product 2014,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
COG,123,,"Congo, Rep."," 14,135 ",,,,,
TCD,124,,Chad," 13,922 ",,,,,
ZWE,125,,Zimbabwe," 13,663 ",,,,,
NAM,126,,Namibia," 13,430 ",,,,,
ALB,127,,Albania," 13,370 ",,,,,
SSD,128,,South Sudan," 13,070 ",,,,,
WBG,129,,West Bank and Gaza," 12,738 ",,,,,
MUS,130,,Mauritius," 12,616 ",,,,,
BFA,131,,Burkina Faso," 12,543 ",,,,,
MLI,132,,Mali," 12,074 ",,,,,
MNG,133,,Mongolia," 12,016 ",,,,,
NIC,134,,Nicaragua," 11,806 ",,,,,
LAO,135,,Lao PDR," 11,772 ",,,,,
MKD,136,,"Macedonia, FYR"," 11,324 ",,,,,
ARM,137,,Armenia," 10,882 ",,,,,
MDG,138,,Madagascar," 10,593 ",,,,,
MLT,139,,Malta," 9,643 ",,,,,
TJK,140,,Tajikistan," 9,242 ",,,,,
BEN,141,,Benin," 8,747 ",,,,,
HTI,142,,Haiti," 8,713 ",,,,,
BHS,143,,"Bahamas, The"," 8,511 ",,,,,
NER,144,,Niger," 8,169 ",,,,,
MDA,145,,Moldova," 7,944 ",f,,,,
RWA,146,,Rwanda," 7,890 ",,,,,
KGZ,147,,Kyrgyz Republic," 7,404 ",,,,,
KSV,148,,Kosovo," 7,274 ",,,,,
GIN,149,,Guinea," 6,624 ",,,,,
BMU,150,,Bermuda," 5,574 ",,,,,
LIE,151,,Liechtenstein," 5,488 ",,,,,
SUR,152,,Suriname," 5,299 ",,,,,
MRT,153,,Mauritania," 5,061 ",,,,,
SLE,154,,Sierra Leone," 4,892 ",,,,,
MNE,155,,Montenegro," 4,583 ",,,,,
TGO,156,,Togo," 4,518 ",,,,,
BRB,157,,Barbados," 4,348 ",,,,,
MWI,158,,Malawi," 4,258 ",,,,,
FJI,159,,Fiji," 4,030 ",,,,,
ERI,160,,Eritrea," 3,858 ",,,,,
SWZ,161,,Swaziland," 3,400 ",,,,,
ADO,162,,Andorra," 3,249 ",,,,,
GUY,163,,Guyana," 3,228 ",,,,,
BDI,164,,Burundi," 3,094 ",,,,,
MDV,165,,Maldives," 3,032 ",,,,,
FRO,166,,Faeroe Islands," 2,613 ",,,,,
LSO,167,,Lesotho," 2,088 ",,,,,
LBR,168,,Liberia," 2,027 ",,,,,
CPV,169,,Cabo Verde," 1,871 ",,,,,
BTN,170,,Bhutan," 1,821 ",,,,,
CAF,171,,Central African Republic," 1,783 ",,,,,
BLZ,172,,Belize," 1,624 ",,,,,
DJI,173,,Djibouti," 1,582 ",,,,,
